## compare · e173 (b-muhy7ny0) against e173-base (b-muhyz9be)

Band = max(rel, noise × baseline run-to-run spread) × baseline + abs (scorecard.budget.json `kinds`). REGRESS blocks the merge; `info` rows never fail.

| row | baseline | now | Δ | band | verdict |
| nalati-grasslands/desktop/pose.camp.ssim | 0.9949 | 0.9801 | -1.5 % | ≥ 0.98 | pass |
| nalati-grasslands/desktop/pose.camp.trisK | 4297.8 | 4297.8 | +0.0 % | ±434.8 | pass |
| nalati-grasslands/desktop/pose.plains.calls | 268 | 258 | -3.7 % | ±31.8 | pass |
| nalati-grasslands/desktop/pose.plains.cpuP50Ms | 2.8 | 2.4 | -14.3 % | ±1.3 | pass |
| nalati-grasslands/desktop/pose.plains.cpuP95Ms | 3.5 | 2.7 | -22.9 % | ±1.4 | pass |
| nalati-grasslands/desktop/pose.plains.fps | 60.0 | 60.0 | +0.0 % | ±7.0 | pass |
| nalati-grasslands/desktop/pose.plains.frameP95Ms | 17.7 | 17.3 | -2.3 % | ±2.8 | pass |
| nalati-grasslands/desktop/pose.plains.maskedFrac | 0.1 | 0.1 | +3.5 % |  | info |
| nalati-grasslands/desktop/pose.plains.ssim | 0.9553 | 0.9577 | +0.3 % | ≥ 0.9453 | pass |
| nalati-grasslands/desktop/pose.plains.trisK | 5986.3 | 5907.1 | -1.3 % | ±603.6 | pass |
| nalati-grasslands/desktop/warm.longTaskMaxMs | 1426 | 1182 | -17.1 % | ±263.9 | pass |
| nalati-grasslands/desktop/warm.netBytes | 0.00 | 0.00 | +0.1 % | ±0.06 | pass |
| nalati-grasslands/desktop/warm.playMs | 5.98 | 4.46 | -25.5 % | ±0.75 | better |
| nalati-grasslands/desktop/warm.requests | 271 | 273 | +0.7 % | ±7.4 | pass |
| nalati-grasslands/phone/cold.bgNetBytes | 117275794 | 117275794 | +0.0 % |  | info |
| nalati-grasslands/phone/cold.idleNetBytes | 148689507 | 148690741 | +0.0 % |  | info |
| nalati-grasslands/phone/cold.longTaskMaxMs | 347 | 358 | +3.2 % | ±102.1 | pass |
| nalati-grasslands/phone/cold.netBytes | 29.96 | 29.96 | +0.0 % | ±0.36 | pass |
| nalati-grasslands/phone/cold.playMs | 9.13 | 9.13 | -0.0 % | ±1.06 | pass |
| nalati-grasslands/phone/cold.requests | 235 | 235 | +0.0 % | ±6.7 | pass |
| nalati-grasslands/phone/cold4g.playMs | 31.65 | 31.66 | +0.0 % | ±3.32 | pass |
| nalati-grasslands/phone/mem.geometries | 114 | 114 | +0.0 % | ±7.7 | pass |
| nalati-grasslands/phone/mem.glBufBytes | 64.70 | 64.70 | +0.0 % | ±5.24 | pass |
| nalati-grasslands/phone/mem.glRbBytes | 39.16 | 39.16 | +0.0 % | ±3.96 | pass |
| nalati-grasslands/phone/mem.glTexBytes | 96.97 | 96.97 | +0.0 % | ±6.85 | pass |
| nalati-grasslands/phone/mem.heapBytes | 46.64 | 45.87 | -1.7 % | ±4.33 | pass |
| nalati-grasslands/phone/mem.programs | 96 | 96 | +0.0 % | ±6.8 | pass |
| nalati-grasslands/phone/mem.sceneTexBytes | 112.46 | 112.46 | +0.0 % | ±7.62 | pass |
| nalati-grasslands/phone/mem.textures | 127 | 127 | +0.0 % | ±8.4 | pass |
| nalati-grasslands/phone/pose.bridge.calls | 87 | 87 | +0.0 % | ±13.7 | pass |
| nalati-grasslands/phone/pose.bridge.cpuP50Ms | 1.9 | 1.8 | -5.3 % | ±1.2 | pass |
| nalati-grasslands/phone/pose.bridge.cpuP95Ms | 2.4 | 2.1 | -12.5 % | ±1.2 | pass |
| nalati-grasslands/phone/pose.bridge.fps | 30.0 | 60.0 | +100.0 % | ±4.0 | better |
| nalati-grasslands/phone/pose.bridge.frameP95Ms | 34.4 | 17.5 | -49.1 % | ±4.4 | better |
| nalati-grasslands/phone/pose.bridge.maskedFrac | 0 | 0 | +6.3 % |  | info |
| nalati-grasslands/phone/pose.bridge.ssim | 0.9884 | 0.9919 | +0.4 % | ≥ 0.9784 | pass |
| nalati-grasslands/phone/pose.bridge.trisK | 1228.9 | 1228.9 | +0.0 % | ±127.9 | pass |
| nalati-grasslands/phone/pose.camp.calls | 77 | 77 | +0.0 % | ±12.7 | pass |
| nalati-grasslands/phone/pose.camp.cpuP50Ms | 1.9 | 1.7 | -10.5 % | ±1.2 | pass |
| nalati-grasslands/phone/pose.camp.cpuP95Ms | 2.3 | 2.0 | -13.0 % | ±1.2 | pass |
| nalati-grasslands/phone/pose.camp.fps | 30.0 | 60.0 | +100.0 % | ±4.0 | better |
| nalati-grasslands/phone/pose.camp.frameP95Ms | 33.8 | 17.6 | -47.9 % | ±4.4 | better |
| nalati-grasslands/phone/pose.camp.maskedFrac | 0.3 | 0.3 | +0.0 % |  | info |
| nalati-grasslands/phone/pose.camp.ssim | 0.9969 | 0.9983 | +0.1 % | ≥ 0.98 | pass |
| nalati-grasslands/phone/pose.camp.trisK | 983.2 | 983.2 | +0.0 % | ±103.3 | pass |
| nalati-grasslands/phone/pose.plains.calls | 100 | 100 | +0.0 % | ±15 | pass |
| nalati-grasslands/phone/pose.plains.cpuP50Ms | 2.3 | 2.2 | -4.3 % | ±1.2 | pass |
| nalati-grasslands/phone/pose.plains.cpuP95Ms | 3.4 | 2.7 | -20.6 % | ±1.3 | pass |
| nalati-grasslands/phone/pose.plains.fps | 30.0 | 60.0 | +100.0 % | ±4.0 | better |
